dx_origin,dy_origin,da_origin,dx_smooth,dy_smooth,da_smooth
0.080190,2.953048,-0.058850,48.433287,-21.392963,1.649093
16.382231,3.606044,-0.144376,49.315551,-23.487989,1.695475
-2.765039,-6.705601,0.170750,33.886558,-26.286376,1.827973
6.407918,1.576269,-0.169721,37.564395,-18.765142,1.644833
13.550694,5.266500,-0.361067,32.105075,-19.546090,1.802765
2.298408,3.420155,-0.041222,19.586045,-24.063459,2.152720
1.839058,2.456056,0.011631,18.366512,-26.755219,2.183146
2.255621,4.026650,-0.008288,17.587295,-28.423654,2.160579
9.071556,1.869010,0.018691,16.340779,-31.633019,2.157364
17.736341,-7.534262,0.233610,8.301068,-32.736041,2.126885
9.332230,2.228070,-0.311276,-8.366311,-24.456240,1.881334
4.510009,6.271089,-0.193195,-16.627712,-25.931511,2.180595
-2.909014,1.047715,-0.121975,-20.054192,-31.472428,2.361443
2.024806,3.850328,-0.033940,-16.050334,-31.750075,2.470465
1.726487,4.425990,0.045574,-16.995836,-34.828740,2.491199
0.888664,2.172167,0.015670,-17.666344,-38.507899,2.432528
2.085941,-5.557070,0.081844,-17.520449,-39.989097,2.406276
-3.198877,-6.467122,0.052385,-18.547673,-33.767519,2.313418
0.840706,-4.700897,0.095911,-14.359187,-26.656319,2.249894
14.894913,-14.032528,0.731388,-14.242801,-21.311620,2.142716
11.185551,8.812734,0.231111,-28.150669,-6.697642,1.400247
4.006835,0.818349,0.139352,-38.361978,-14.895923,1.158770
-4.775588,6.355729,-0.065647,-41.339840,-15.103719,1.009722
-4.558780,-0.200614,0.070176,-35.538443,-20.839441,1.065220
0.419200,19.956129,-0.610066,-29.957889,-20.008450,0.985055
-2.876572,-12.555415,0.403577,-29.330513,-39.301225,1.585349
-3.879352,2.554944,0.005745,-25.383299,-26.077100,1.172210
3.839179,0.050315,0.110331,-20.406178,-27.958773,1.157105
0.726801,0.560223,0.042751,-23.096978,-27.377214,1.037767
-6.736527,-0.972970,0.053307,-22.616459,-27.332607,0.986467
-1.688269,6.914432,0.155599,-14.717035,-25.886357,0.929041
9.116429,3.810630,0.038813,-11.837633,-32.335250,0.769105
5.121874,1.910571,0.003052,-19.777034,-35.670546,0.725786
-1.136289,8.770781,0.047028,-23.767604,-37.113114,0.716991
0.082434,1.529717,0.011637,-21.452829,-45.378952,0.661481
2.616701,1.300178,0.013223,-20.350355,-46.425930,0.641351
3.026620,-2.329041,0.102498,-21.760574,-47.201011,0.619919
3.460565,-6.310437,0.082923,-23.620886,-44.436895,0.513048
2.125781,-5.147824,0.065856,-25.908852,-37.635031,0.426173
0.272945,0.077797,0.028180,-26.908778,-31.928125,0.356324
-4.566145,2.512287,0.019014,-26.063918,-31.484066,0.323554
-1.168331,0.575899,-0.007286,-20.418974,-33.535599,0.300551
1.008702,3.790249,0.026371,-18.174995,-33.717065,0.304272
0.317740,4.694142,0.037748,-18.096740,-37.133137,0.274163
-2.386754,-1.447434,-0.018277,-17.325273,-41.390799,0.231269
-1.919261,-3.281556,-0.043307,-13.872955,-39.606145,0.247465
2.339402,-0.048572,-0.027197,-10.931123,-36.053442,0.291756
2.984090,-1.081735,0.011383,-12.262450,-35.680518,0.319892
-3.100407,-0.807299,0.050031,-14.184547,-34.226834,0.308906
4.679741,-1.457061,0.052911,-9.994780,-33.056816,0.258499
8.017494,-0.157452,0.009316,-13.606309,-31.202855,0.205351
3.384780,-4.988295,0.015218,-20.552292,-30.690025,0.198317
4.033038,2.708116,-0.028487,-22.814503,-25.333898,0.184534
7.198787,5.149616,0.021194,-25.748007,-27.803636,0.219272
4.816266,-1.467168,0.030306,-31.917619,-32.741855,0.206003
1.120688,1.064329,0.032069,-35.757064,-31.018283,0.182574
0.205079,-1.939547,0.016581,-35.862606,-31.792633,0.156610
1.259274,-0.805731,0.008333,-35.101681,-29.563386,0.144394
-1.109632,0.095505,0.044889,-35.543794,-28.642462,0.146229
-0.595091,-2.052035,0.025300,-33.591988,-28.527554,0.110328
1.755245,-4.408392,0.030609,-32.159517,-26.197752,0.094219
0.351528,-4.487763,0.009855,-33.081103,-21.437093,0.071095
-2.097769,-1.127135,-0.012521,-32.560220,-16.616698,0.069140
-6.636440,1.675781,0.036811,-29.549234,-15.073098,0.090285
-3.408625,-1.789489,0.028108,-21.921425,-16.491604,0.069097
2.920118,-2.089568,-0.008371,-17.465547,-14.578972,0.062168
3.383386,1.855716,0.092898,-19.371701,-12.389614,0.094028
2.157456,-0.346426,0.115844,-21.794228,-14.227806,0.027664
1.365361,-3.386914,0.000616,-22.909432,-13.837318,-0.061860
-3.218983,-1.620060,0.050838,-23.209145,-10.361956,-0.034993
-2.854806,-3.395060,0.020619,-18.898775,-8.669886,-0.058082
1.440478,-4.422156,0.046424,-14.952439,-5.243818,-0.050531
3.196069,-1.355741,0.104147,-15.303555,-0.815234,-0.068656
1.153135,-1.841204,0.035938,-17.374299,0.516739,-0.144268
-1.775091,-2.070494,0.101439,-17.354418,2.349541,-0.151613
-1.165788,-1.170538,0.121515,-14.388658,4.421071,-0.223943
1.048607,-2.936438,0.134900,-11.999914,5.573132,-0.315659
0.301699,-2.120348,0.100176,-11.913886,8.469792,-0.419657
-1.257376,-4.392834,0.087754,-11.091671,10.592466,-0.490824
0.724065,-3.745111,0.061685,-8.834436,14.920793,-0.548874
3.428667,-5.015818,0.020269,-8.681095,18.523185,-0.577684
2.090909,-3.668575,-0.023515,-11.009419,23.608099,-0.578244
-1.196262,1.904100,0.005611,-11.923890,27.367556,-0.538574
-3.627566,5.268605,-0.006807,-9.400686,25.645289,-0.532797
-0.563895,0.198716,-0.010899,-4.497788,20.529874,-0.517808
-0.812258,-0.475144,0.049341,-2.801552,20.564031,-0.502382
0.888978,1.362603,0.026051,-0.921006,21.237392,-0.546648
2.861206,-3.012816,-0.011027,-0.773786,20.062288,-0.568632
2.999150,-0.501186,0.010398,-2.609329,23.295542,-0.554632
0.006794,-0.361022,0.005499,-4.613308,24.077638,-0.564009
-4.588411,0.986995,-0.013061,-3.947357,24.669617,-0.565799
-1.664085,2.996007,-0.037799,1.244587,23.862277,-0.550123
-0.461645,2.974665,-0.028479,3.375113,21.006734,-0.509226
-2.461207,1.335549,-0.004726,4.237283,18.140899,-0.475741
-1.120783,-1.205911,0.008939,6.857977,16.888498,-0.461687
0.085986,-3.613323,0.003716,7.963896,18.215662,-0.462965
4.102583,0.651313,0.047766,7.836010,21.954669,-0.463160
5.646322,1.906690,0.068201,3.664671,21.456808,-0.510115
1.610256,-0.788859,-0.051861,-2.092468,19.649316,-0.574877
-0.694624,0.344230,0.012934,-3.872518,20.519500,-0.519991
-0.288519,4.997758,0.026661,-3.371496,20.123336,-0.525023
-1.545506,2.935923,0.011900,-3.228439,15.197129,-0.547642
-1.011699,-0.670212,-0.011563,-1.766943,12.327383,-0.555821
1.308058,-4.460844,-0.019609,-0.869318,13.049196,-0.542452
1.042840,-3.012783,-0.011406,-2.245094,17.545068,-0.520938
1.542233,-4.046981,-0.018721,-3.272881,20.628121,-0.506690
0.040268,-2.735802,-0.050998,-4.773889,24.775399,-0.487653
-0.337136,2.101123,0.019494,-4.813884,27.597515,-0.437188
-0.863697,0.385609,-0.001525,-4.459679,25.638745,-0.457320
-1.646175,1.122826,-0.049519,-3.480425,25.435384,-0.460232
-1.344021,3.065476,-0.003479,-1.641017,24.524256,-0.416419
-1.473105,0.604929,0.023855,-0.181203,21.654115,-0.419258
-1.291508,-2.177370,-0.018980,1.331053,21.243322,-0.450980
1.753449,5.272995,0.010177,2.624889,23.777487,-0.444090
1.254957,5.595231,0.021330,0.824827,18.951278,-0.468406
-1.118404,0.009267,0.034119,-0.527704,13.749584,-0.501595
0.047149,-1.828244,0.018326,0.470479,14.103154,-0.547654
-0.005979,-2.698360,-0.003421,0.291150,16.297687,-0.581032
0.482843,-1.244627,0.034050,0.187250,19.273747,-0.591108
0.646125,1.655960,0.036728,-0.447485,20.784096,-0.638411
-3.139138,0.977207,0.059491,-1.250846,19.444332,-0.690125
-2.200657,-3.027677,0.004377,1.703695,18.839833,-0.765502
0.765024,0.343134,-0.008756,3.642055,22.270710,-0.786442
1.515820,0.755798,0.027950,2.535352,22.338255,-0.794763
-0.427927,1.090807,0.005299,0.611779,21.917117,-0.839109
-0.170399,3.014858,0.008533,0.491154,21.067090,-0.860323
1.832223,2.230225,0.005597,-0.081064,18.211445,-0.883737
1.827587,0.484837,-0.017326,-2.704504,16.281140,-0.905163
-1.709621,0.461931,-0.026188,-5.346252,16.105556,-0.906088
-2.903096,-1.434004,-0.059157,-4.510045,15.907615,-0.899729
-1.284102,-1.732600,-0.027374,-2.521916,17.615737,-0.862273
0.881035,1.591631,-0.009485,-2.144216,19.583987,-0.857396
-1.497503,-1.247339,-0.062997,-3.912995,18.213205,-0.871355
-2.437905,1.804226,-0.007940,-3.309348,19.710445,-0.832206
-0.399308,4.948760,0.015721,-1.751712,18.190581,-0.847927
4.347794,5.513948,0.049494,-2.204091,13.510690,-0.887386
7.335394,5.075905,0.045278,-7.388626,8.290455,-0.960897
8.251770,6.123395,0.051580,-15.554567,3.559276,-1.030111
11.132234,9.385299,0.094033,-24.623664,-2.221566,-1.105877
-2.368449,-28.331909,1.035175,-36.515936,-11.290071,-1.224972
8.235398,-19.191752,0.597596,-34.891689,17.359073,-2.285958
5.558106,4.803156,0.111783,-43.915124,36.880216,-2.909926
3.823808,0.964164,0.068222,-50.273178,32.409795,-3.049190
-0.108822,-4.953985,0.003854,-54.897070,31.812757,-3.146151
-4.223089,5.196285,-0.062311,-55.602876,37.166562,-3.179086
2.096076,-4.131226,0.053658,-52.192968,32.359886,-3.146567
4.004344,-2.351973,-0.011629,-55.102738,36.876503,-3.230504
1.890692,0.414551,0.014701,-59.926477,39.637491,-3.249692
-2.594335,0.744046,0.009597,-62.629025,39.675876,-3.295774
-2.426830,5.224684,-0.048416,-60.845562,39.429975,-3.337051
-0.841426,5.291503,-0.021154,-59.219693,34.742621,-3.321229
4.955339,0.006525,0.045123,-59.167952,30.032446,-3.333451
3.045949,0.389602,0.022242,-64.913311,30.641252,-3.412878
-4.383941,-0.347840,-0.114925,-68.741960,30.858605,-3.470095
-12.324527,-8.515684,-0.064943,-65.122929,31.840686,-3.390661
-4.939568,-6.543388,0.117821,-53.584995,41.023632,-3.361658
35.961877,35.404271,-2.029298,-49.459167,48.283628,-3.515726
13.329251,5.745776,-0.525050,-86.243695,13.644272,-1.522317
24.981785,17.760004,-0.728062,-100.378484,8.656084,-1.033546
1.278483,-2.455870,-0.465487,-126.146099,-8.392833,-0.341718
-3.855244,4.497793,-0.318209,-128.217233,-5.246481,0.087665
-0.339716,-3.005040,-0.228516,-125.135472,-9.060973,0.369445
-0.335781,4.652695,-0.345484,-125.566815,-5.379593,0.561389
-4.499560,6.021556,-0.287078,-126.011759,-9.342280,0.870426
-2.579667,12.981501,-0.328799,-122.303237,-14.665376,1.121084
-46.959704,-3.116808,0.451515,-120.505871,-26.943179,1.413454
-9.562348,-5.574524,-0.149561,-74.301194,-23.134179,0.925832
-18.615078,-11.474742,0.154784,-65.463976,-16.870249,1.039497
-13.152263,-11.243943,0.340593,-47.554396,-4.713414,0.848950
-35.555779,-8.578825,0.748511,-35.071725,7.204029,0.473181
-11.432239,-8.278890,0.479565,-0.157812,16.490973,-0.310419
7.103203,9.482080,-0.393918,10.618533,25.495308,-0.825294
-0.048568,5.011058,-0.269841,2.812989,16.712320,-0.467122
-11.126651,-1.836496,0.331071,2.125927,12.384103,-0.233262
-13.464273,-2.899341,0.007686,12.519058,14.892070,-0.599424
-3.176002,-0.166092,0.126353,25.275420,18.457249,-0.641587
4.392569,6.090925,-0.179165,27.750356,19.269475,-0.802608
5.400035,1.743465,-0.042858,22.644654,13.782928,-0.658489
-0.700476,-2.150737,-0.178849,16.504093,12.627044,-0.650380
7.726496,-1.942319,0.057753,16.438734,15.395430,-0.506341
5.762010,4.348626,0.194771,7.934472,17.954214,-0.598698
2.263594,11.448523,-0.225831,1.418173,14.230954,-0.827704
2.932631,1.699114,-0.089492,-1.584516,3.427442,-0.635761
